"height","validator","percentage"
417738,"0% fee | Stakewolle.com",0.095634
417738,"SmartNodes",2.125229
417738,"STC Capital",0.319159
417738,"Ubik Capital",0.213251
417738,"Bro_n_Bro",0.550116
417738,"WeStaking",1.252263
417738,"Cros-nest",0.609728
417738,"Cypher Core",0.193727
417738,"CommunityStaking",0.398249
417738,"Inotel",1.259143
417738,"0% fees 🚀 | BlueStake",2.928752
417738,"Crab Shack (ben2x4)",0.928131
417738,"Artifact",0.326772
417738,"Stakecito",1.340107
417738,"Regenerator | Green Validator 🌱",0.239729
417738,"Swiss Staking",3.539212
417738,"StarCluster",0.089188
417738,"Invicta Stake",0.159737
417738,"NodesGuru",0.167732
417738,"syncnode",0.128494
417738,"Disperze",3.431854
417738,"SG-1",8.459441
417738,"Cephalopod Equipment Corp",2.271743
417738,"Stakin",0.487164
417738,"jabbey",0.189689
417738,"Stakers",0.160754
417738,"meow",0.710750
417738,"#decentralizehk",0.159415
417738,"Oldcat",0.099424
417738,"pathrocknetwork",0.107772
417738,"0% fee - EZStaking.io 100% Slash Protected",0.699140
417738,"0% fees | Validator.run",0.146024
417738,"Simply Staking",0.308435
417738,"Consensus One",0.462965
417738,"Cosmostation",7.793936
417738,"Secure Secrets",0.234786
417738,"SOLAR Validator",0.115666
417738,"commercio.network",0.126882
417738,"Highlander-Nodes",0.327866
417738,"天照☀",0.249183
417738,"Cosmic Validator",0.561326
417738,"kytzu",0.133785
417738,"Lavender.five Nodes",1.217272
417738,"Wave",0.111017
417738,"Klub Staking",0.312483
417738,"Cat Boss",0.190280
417738,"notional-validator",0.999382
417738,"chainvibes",0.232734
417738,"kingnodes",1.647698
417738,"NosNode🔆️",0.437513
417738,"[ block pane ]",0.264243
417738,"Wetez",0.161624
417738,"KingSuper",0.119894
417738,"dimi 🦙",1.393168
417738,"stakefish",3.858432
417738,"Chainflow",0.145980
417738,"blockscape",0.923032
417738,"Sentinel",6.174628
417738,"strangelove-ventures",1.190563
417738,"cyberG",0.151369
417738,"STAKECRAFT",0.076415
417738,"Ping",0.215733
417738,"Provalidator",1.181122
417738,"ITA Stakers",0.874928
417738,"0base.vc",8.003576
417738,"0% fee ✅ CryptoCrew Validators #GenesisCrew",0.770386
417738,"Agaram.ai",0.056968
417738,"Fist of the North Star",0.132758
417738,"Chorus One",1.452832
417738,"BasBlock",0.345242
417738,"Validating Chaos",0.516290
417738,"ChainLayer",0.943194
417738,"Chandrodaya",0.061538
417738,"Stakely.io",0.351703
417738,"Figment",3.465113
417738,"StakeWithUs",0.063393
417738,"HashQuark",0.455387
417738,"POSTHUMAN ✵ DVS",0.310656
417738,"BouBouNode",2.148509
417738,"KalpaTech",0.813264
417738,"SpacePotato",0.735337
417738,"Messi",0.060536
417738,"RHINO",0.236041
417738,"Witval",0.204003
417738,"Chill Validation",0.442107
417738,"web34ever",0.163599
417738,"milkstake",0.571528
417738,"AUDIT.one",0.164551
417738,"stake.systems",0.122537
417738,"OmniFlix Network",1.174121
417738,"OranG3cluB",0.119509
417738,"needlecast",0.361241
417738,"deus labs",1.051999
417738,"0% fee - Imperator.co",2.700007
417738,"elsehow",0.493824
417738,"FreshJUNO",1.002954
417738,"01node",0.757079
417738,"Citadel.one",2.783543
417738,"Bi23 Labs",0.725470
417738,"StakeLab",0.257339
419538,"0% fee | Stakewolle.com",0.103776
419538,"SmartNodes",2.123229
419538,"STC Capital",0.318815
419538,"Ubik Capital",0.213022
419538,"Bro_n_Bro",0.549523
419538,"WeStaking",1.251015
419538,"Cros-nest",0.609115
419538,"Cypher Core",0.193518
419538,"CommunityStaking",0.397819
419538,"Inotel",1.257786
419538,"0% fees 🚀 | BlueStake",2.926018
419538,"Crab Shack (ben2x4)",0.932599
419538,"Artifact",0.326968
419538,"Stakecito",1.338751
419538,"Regenerator | Green Validator 🌱",0.239471
419538,"Swiss Staking",3.536058
419538,"StarCluster",0.089092
419538,"Invicta Stake",0.159565
419538,"NodesGuru",0.167551
419538,"syncnode",0.128356
419538,"Disperze",3.434835
419538,"SG-1",8.452425
419538,"Cephalopod Equipment Corp",2.269294
419538,"Stakin",0.486639
419538,"jabbey",0.189493
419538,"Stakers",0.160580
419538,"meow",0.713018
419538,"#decentralizehk",0.159243
419538,"Oldcat",0.099317
419538,"pathrocknetwork",0.107656
